Genotype,Year,WPH,YB,TKW,PC
ARCOBALENO,1999,81.67,46.67,44.67,12.71
ARCOBALENO,2000,82.83,19.67,43.32,11.9
ARCOBALENO,2001,83.5,38.67,46.78,13
ARCOBALENO,2002,78.6,82.67,43.03,12.4
BAIO,1999,80.3,41,51.83,13.91
BAIO,2000,81.4,20,41.43,12.8
BAIO,2001,83.83,19,49.9,14.1
BAIO,2002,78,75.33,43.78,14.3
CLAUDIO,1999,83.37,52.67,52.17,13.66
CLAUDIO,2000,84.57,61.67,46.48,11.1
CLAUDIO,2001,84.27,35,54.08,13.4
CLAUDIO,2002,79.57,88,44.7,12.8
COLORADO,1999,79.83,27,45.33,13.96
COLORADO,2000,74.93,17.33,28.72,13
COLORADO,2001,83.53,12.67,45.68,13.4
COLORADO,2002,77.87,66,40.53,12.6
COLOSSEO,1999,78.27,59.67,51.8,13.61
COLOSSEO,2000,83.1,45.67,48.58,11.6
COLOSSEO,2001,83.57,52.33,55.37,12.8
COLOSSEO,2002,80.73,90.33,46.2,12.5
CRESO,1999,81.57,43.33,51.63,13.49
CRESO,2000,83.53,25.67,49.6,12
CRESO,2001,85,39,58.12,13.8
CRESO,2002,79.17,72.33,45.63,13.8
DUILIO,1999,79.43,46,48.43,13.38
DUILIO,2000,82.4,34.33,48.87,13.7
DUILIO,2001,83.6,55.33,54.55,13.3
DUILIO,2002,78.67,90.67,46.12,12.9
GIOTTO,1999,79.03,40.67,46.27,13.94
GIOTTO,2000,79.33,38,41.57,12.3
GIOTTO,2001,83.2,37,49.32,12.7
GIOTTO,2002,76.93,87.67,44.45,12.1
GRAZIA,1999,81.53,35.67,44.77,14.05
GRAZIA,2000,81.47,21.67,35.53,11.3
GRAZIA,2001,86.3,16.67,48.08,12.9
GRAZIA,2002,80.9,61.33,39.98,13.6
IRIDE,1999,79.77,44,44.03,13.32
IRIDE,2000,82.2,17.67,41.28,11.7
IRIDE,2001,82.87,57.33,46.28,12.4
IRIDE,2002,78.17,88.33,37.55,12
MERIDIANO,2000,78.63,29.67,41.18,13.6
MERIDIANO,1999,78.4,53.67,48.83,13.68
MERIDIANO,2001,82.37,48,53.47,13.1
MERIDIANO,2002,79.03,89.33,47.33,12.8
SANCARLO,2002,81.17,75.33,47.97,13.5
SANCARLO,1999,82.43,19.67,52.93,14.55
SANCARLO,2000,79.27,12.67,38.05,12.9
SANCARLO,2001,85.23,19.67,56.75,14.1
SIMETO,1999,78.5,49,56.53,13.83
SIMETO,2000,82.63,15.67,58.27,13.7
SIMETO,2001,81.37,41.67,58.2,13.6
SIMETO,2002,77.1,67.67,49.92,14.3
SOLEX,1999,81.4,47,52.73,13.74
SOLEX,2000,81.13,30,37.77,12
SOLEX,2001,84.43,38.33,52.93,13.2
SOLEX,2002,78.3,73.67,44.23,13.3
TORREBIANCA,1999,79.87,29.33,52.07,14
TORREBIANCA,2000,80.9,13,41.92,12.6
TORREBIANCA,2001,83.13,24.67,55.9,13.6
TORREBIANCA,2002,78.37,70.33,47.38,13.5
VERDI,1999,76.43,62.33,46,13.03
VERDI,2000,72.93,26.33,34.43,12.8
VERDI,2001,80.97,58.67,47.45,13.4
VERDI,2002,75.87,93,39.05,12.2
